n,d,k,time
1423,31,14,1.706641
n,d,k,time
1423,31,14,1.644268
1423,31,14,2.050619
n,d,k,time
1000,2,30,0.592394
1000,2,30,0.666193
n,d,k,time
1000,2,30,0.554381
1000,2,30,0.641505
n,d,k,time
1000,3,30,0.539511
1000,3,30,0.506240
n,d,k,time
1000,4,30,0.551229
1000,4,30,0.581384
n,d,k,time
1000,5,30,0.542679
1000,5,30,0.532393
n,d,k,time
1000,7,30,0.564236
1000,7,30,0.556414
n,d,k,time
1000,8,30,0.582592
1000,8,30,0.544226
n,d,k,time
1000,9,30,0.538218
1000,9,30,0.663815
n,d,k,time
1000,10,30,0.565147
1000,10,30,0.577081
n,d,k,time
1000,2,30,0.568622
1000,2,30,0.557531
